@relation letterRecogTrain-weka.filters.unsupervised.attribute.DMI-D2-N-1-F0.25-E-1-I-1-L1.0E-4

@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute Class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
4,7.46079,4,6,4,6,9,9,7,7,5,7,2,8,9,10,B
4,11,5,8,4,8,5,3,7,12,4,10,1,6,2,6,J
3,7,5,5,5,5,8,3,4,6,5,9,4,7,6,5,R
3,8,4,6,2,9,14.086167,0,6,6,10,8,0,8,0,8,T
4,9,4,6,3,6,8,6,10,7,7,10,1,9,8,8,Z
1,0,2,0,0,8,6,5,4,6,5,9,1,8,5,10,G
3,8,4,6,2,5,6.914173,7,8,7,8,14,1,8,4,10,C
2,6,4,4,2,6,11.472614,3,7,8,11,8,1,11,1,7,T
2,7.728383,3,6,2,9,6,2,7,12,3,8,1,6,1,6,J
2,5.547881,4,4,2,8,3,1,2,7,2,8,2,6,2,7,A
1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,A
5,10,6,9,5,8,8,8,5,5,8,10,4,7,6,8,Q
4,6,6,4,4,9,6.445472,6,5,6,5,9,3,8,9,6,Z
3,1,4,2,2,7,7,6,7,7,6,5,2,8,3,7,D
5,9,6,7,3,10,6,1,7,14,3,7,0,7,0,8,J
3,7,5,5,2,8,4,6,4,14,8,14,1,6,1,7,J
4,8,6,6,5,7,8,6,4,8,6,8,3,10,8,10,F
4,11,5,8,4,6,8,10,7,7,5,7,2,8,9,9,B
6,10,8,7,7,7,9,7,5,7,5,5,5,9,7,6,B
3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8,S
1,0,2,1,0,2,2.419524,6,5,0,2,4,0,8,0,8,L
6,9,7,7,7,6,7,3,4,6,7,10,7,8,6,7,C
2,4,3,2,2,9,7,3,5,10,5,7,2,8,4,9,B
8,10,6,6,4,6,8,5,5,9,6,9,7,5,7,11,R
5,9,7,6,5,9,8,6,6,6,5,4,7,11,3,5,N
4,5.944044,4,4,4,7,7,5,8,7,7,9,2,8,6,9,E
5.371181,9,8,7,10,9,8,4,5,5,8,8,10,7,8,6,U
3,5,5,4,3,9,7,4,5,9,4,7,3,7,4,10,R
2,4,3,3,2,8,7,5,9,6,6,7,1,8,7,8,Z
2,1,3,2,2,7,7,4,6,6,6,9,3,8,5,10,K
7,10,9,8,9,8,7,6,2,7,6,10,5,8,8,10,E
7,11,11,8,5,7,7,1,9,10,6,8,3,8,4,7,X
3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,Y
5,9,7,6,7,6,8,3,4,8,7,8,6,9,5,4,N
5,10,7,7,4,6,8,5,2,7,8,8,9,9,0,8,W
4,7,4,5,3,4,7,5,6,11,9,14,1,9,3,9,C
2,5,4,4,2,6,10,2,6,13,7,6,1,9,2,7,F
4,11,5,8,3,9,7.037528,6,9,5,6,5,0,8,9,7,S
